Qwen__Qwen2.5-72B-Instruct,Qwen__Qwen2.5-32B-Instruct,mistralai__Mistral-Large-Instruct-2411,mlabonne__BigQwen2.5-52B-Instruct,allenai__Llama-3.1-Tulu-3-70B-DPO,allenai__Llama-3.1-Tulu-3-70B,Qwen__Qwen2.5-14B-Instruct,upstage__solar-pro-preview-instruct,Qwen__Qwen2-VL-72B-Instruct,allenai__Llama-3.1-Tulu-3-70B-SFT,Qwen__Qwen2.5-72B,Qwen__Qwen2-Math-72B-Instruct,Qwen__Qwen2.5-32B,mlabonne__BigQwen2.5-Echo-47B-Instruct,cognitivecomputations__dolphin-2.9.2-qwen2-72b,nvidia__Llama-3.1-Nemotron-70B-Instruct-HF,Qwen__Qwen2.5-Math-72B-Instruct,Qwen__Qwen2.5-7B-Instruct,CohereForAI__c4ai-command-r-plus-08-2024,Qwen__Qwen2.5-Coder-14B-Instruct,Qwen__Qwen2.5-14B,mlabonne__Hermes-3-Llama-3.1-70B-lorablated,CohereForAI__aya-expanse-32b,rhymes-ai__Aria,speakleash__Bielik-11B-v2.3-Instruct,Qwen__Qwen2.5-3B-Instruct,Qwen__Qwen2-VL-7B-Instruct,allenai__Llama-3.1-Tulu-3-8B-DPO,mistralai__Mistral-Small-Instruct-2409,Qwen__Qwen2.5-7B,cognitivecomputations__dolphin-2.9.1-llama-3-70b,Qwen__Qwen2.5-Coder-14B,speakleash__Bielik-11B-v2.0-Instruct,meta-llama__Llama-3.2-3B-Instruct,ibm-granite__granite-3.0-8b-instruct,mistralai__Mixtral-8x7B-Instruct-v0.1,nvidia__Mistral-NeMo-Minitron-8B-Instruct,mistralai__Codestral-22B-v0.1,mlabonne__Meta-Llama-3.1-8B-Instruct-abliterated,01-ai__Yi-1.5-6B-Chat,allenai__Llama-3.1-Tulu-3-8B-SFT,Qwen__Qwen2.5-Coder-7B-Instruct,CohereForAI__aya-expanse-8b,Qwen__Qwen2.5-Math-7B-Instruct,ibm-granite__granite-3.0-8b-base,abacusai__Liberated-Qwen1.5-14B,argilla-warehouse__Llama-3.1-8B-MagPie-Ultra,Qwen__Qwen2.5-Coder-7B,Qwen__Qwen2.5-1.5B-Instruct,ibm-granite__granite-3.0-2b-instruct,nvidia__Nemotron-Mini-4B-Instruct,abacusai__bigstral-12b-32k,Qwen__Qwen2.5-3B,Qwen__Qwen2.5-Math-7B,nvidia__Mistral-NeMo-Minitron-8B-Base,google__gemma-2-2b-jpn-it,01-ai__Yi-Coder-9B-Chat,google__gemma-2-2b-jpn-it_2,speakleash__Bielik-11B-v2,meta-llama__Llama-3.2-1B-Instruct,nvidia__Minitron-8B-Base,ibm-granite__granite-3.0-2b-base,Qwen__Qwen2.5-1.5B,allenai__OLMoE-1B-7B-0924-Instruct,ibm-granite__granite-3.0-3b-a800m-instruct,abacusai__bigyi-15b,ibm-granite__granite-7b-instruct,Qwen__Qwen2-Math-7B,nvidia__Minitron-4B-Base,nvidia__Llama-3.1-Minitron-4B-Depth-Base,Qwen__Qwen2.5-0.5B-Instruct,HuggingFaceTB__SmolLM2-1.7B,ibm-granite__granite-3.0-3b-a800m-base,ai21labs__Jamba-v0.1,meta-llama__Llama-3.2-3B,Qwen__Qwen2.5-0.5B-Instruct_2,HuggingFaceTB__SmolLM2-360M-Instruct,ibm-granite__granite-3.0-1b-a400m-instruct,allenai__OLMoE-1B-7B-0924,cognitivecomputations__dolphin-2.9.4-llama3.1-8b,Qwen__Qwen2.5-0.5B,HuggingFaceTB__SmolLM2-135M-Instruct,gpt2,ibm-granite__granite-3.0-1b-a400m-base,gpt2_2,HuggingFaceTB__SmolLM2-135M,amd__AMD-Llama-135m,google__mt5-xl,google__mt5-xxl,amd__AMD-Llama-135m_2,TinyLlama__TinyLlama-1.1B-Chat-v0.6,google__mt5-small,allenai__Llama-3.1-Tulu-3-8B-RM,meta-llama__Llama-3.2-1B,TinyLlama__TinyLlama-1.1B-Chat-v0.5,google__mt5-base,HuggingFaceTB__SmolLM-135M-Instruct,google__umt5-base,google__switch-base-8,HuggingFaceTB__SmolLM2-135M-Instruct_2,HuggingFaceTB__SmolLM2-360M-Instruct_2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
